N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
8	7.02	7.02	21.2599992752075	8.09300020337105	6.58399984240532	sp|Q92841|DDX17_HUMAN	Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=2	HUMAN	3					
9	6.67	6.67	13.1400004029274	10.4699999094009	6.90400004386902	sp|P31943|HNRH1_HUMAN	Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4	HUMAN	4					
10	6.4	6.4	27.9000014066696	16.7400002479553	4.50600013136864	sp|P08670|VIME_HUMAN	Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4	HUMAN	2					
11	6.33	6.33	13.8600006699562	10.4999996721745	8.11899974942207	sp|Q9Y3I0|RTCB_HUMAN	tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=RTCB PE=1 SV=1	HUMAN	3					
12	6.06	6.06	31.4000010490417	4.87800016999245	4.87800016999245	sp|Q01844|EWS_HUMAN	RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1	HUMAN	3					
13	6.03	6.03	34.2799991369247	21.2500005960464	17.5600007176399	sp|P22626|ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2	HUMAN	4					
14	6	6	22.9200005531311	9.16799977421761	7.46999979019165	sp|P14866|HNRPL_HUMAN	Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens GN=HNRNPL PE=1 SV=2	HUMAN	4					
15	5.74	5.74	48.4200000762939	23.9800006151199	9.95500013232231	sp|Q01130|SRSF2_HUMAN	Serine/arginine-rich splicing factor 2 OS=Homo sapiens GN=SRSF2 PE=1 SV=4	HUMAN	2					
16	5.03	5.03	23.759999871254	12.5200003385544	6.10000006854534	sp|P35527|K1C9_HUMAN	Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3	HUMAN	2					
17	4.36	4.7	40.3400003910065	13.9599993824959	7.07499980926514	sp|Q8WXF1|PSPC1_HUMAN	Paraspeckle component 1 OS=Homo sapiens GN=PSPC1 PE=1 SV=1	HUMAN	3					
18	4.23	4.23	26.1900007724762	11.2899996340275	6.32100030779839	sp|Q07666|KHDR1_HUMAN	KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1	HUMAN	2					
19	4.21	4.21	9.96100008487701	3.74800004065037	2.36699990928173	sp|P09874|PARP1_HUMAN	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4	HUMAN	2					
20	4.15	4.15	29.9299985170364	20.4099997878075	11.2199999392033	sp|P06748|NPM_HUMAN	Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2	HUMAN	2					
21	4.11	4.11	30.0399988889694	19.200000166893	3.04199997335672	sp|P35637|FUS_HUMAN	RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1	HUMAN	1					
22	4	4	8.84499996900558	4.42299991846085	4.42299991846085	sp|Q96EP5|DAZP1_HUMAN	DAZ-associated protein 1 OS=Homo sapiens GN=DAZAP1 PE=1 SV=1	HUMAN	2					
23	4	4	25.2099990844727	25.2099990844727	25.2099990844727	sp|P60866|RS20_HUMAN	40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1	HUMAN	2					
24	4	4	41.1199986934662	41.1199986934662	41.1199986934662	sp|P17096|HMGA1_HUMAN	High mobility group protein HMG-I/HMG-Y OS=Homo sapiens GN=HMGA1 PE=1 SV=3	HUMAN	2					
25	3.51	3.51	17.4600005149841	17.4600005149841	10.3200003504753	sp|P62318|SMD3_HUMAN	Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1	HUMAN	2					
26	3.35	3.35	15.3200000524521	9.2339999973774	2.2520000115037	sp|P07437|TBB5_HUMAN	Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2	HUMAN	1					
26	0	2.51	11.9099996984005	5.61800003051758	2.2469999268651	sp|Q13885|TBB2A_HUMAN	Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1	HUMAN	1					
26	0	2.51	11.3300003111362	5.55600002408028	2.22200006246567	sp|Q13509|TBB3_HUMAN	Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2	HUMAN	1					
26	0	2.51	8.31499993801117	5.61800003051758	2.2469999268651	sp|Q9BVA1|TBB2B_HUMAN	Tubulin beta-2B chain OS=Homo sapiens GN=TUBB2B PE=1 SV=1	HUMAN	1					
26	0	1.7	11.9099996984005	2.2469999268651	2.2469999268651	sp|P68371|TBB4B_HUMAN	Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1	HUMAN	1					
26	0	1.7	11.0399998724461	2.2520000115037	2.2520000115037	sp|Q3ZCM7|TBB8_HUMAN	Tubulin beta-8 chain OS=Homo sapiens GN=TUBB8 PE=1 SV=2	HUMAN	1					
26	0	1.7	8.33299979567528	2.2520000115037	2.2520000115037	sp|P04350|TBB4A_HUMAN	Tubulin beta-4A chain OS=Homo sapiens GN=TUBB4A PE=1 SV=2	HUMAN	1					
26	0	1.7	8.96899998188019	2.24200002849102	2.24200002849102	sp|Q9BUF5|TBB6_HUMAN	Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1	HUMAN	1					
26	0	1.7	6.20799995958805	2.21699997782707	2.21699997782707	sp|Q9H4B7|TBB1_HUMAN	Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1	HUMAN	1					
26	0	1.7	2.2520000115037	2.2520000115037	2.2520000115037	sp|A6NNZ2|TBB8L_HUMAN	Tubulin beta-8 chain-like protein LOC260334 OS=Homo sapiens PE=1 SV=1	HUMAN	1					
27	3.16	3.16	10.8400002121925	7.88199976086617	2.79099997133017	sp|P12956|XRCC6_HUMAN	X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2	HUMAN	1					
28	3.05	3.05	24.4699999690056	15.2500003576279	4.61000017821789	sp|P09012|SNRPA_HUMAN	U1 small nuclear ribonucleoprotein A OS=Homo sapiens GN=SNRPA PE=1 SV=3	HUMAN	1					
29	2.99	2.99	10.5999998748302	2.84199994057417	1.31099997088313	sp|Q15424|SAFB1_HUMAN	Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4	HUMAN	1					
30	2.98	2.99	21.8099996447563	9.55900028347969	5.14700002968311	sp|Q8NC51|PAIRB_HUMAN	Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1 PE=1 SV=2	HUMAN	1					
31	2.96	2.96	8.47499966621399	6.21500015258789	6.21500015258789	sp|P26599|PTBP1_HUMAN	Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1	HUMAN	3					
32	2.84	2.84	10.4699999094009	7.44000002741814	3.02600003778934	sp|Q15459|SF3A1_HUMAN	Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1	HUMAN	1					
33	2.68	2.68	61.1100018024445	51.1099994182587	51.1099994182587	sp|P05204|HMGN2_HUMAN	Non-histone chromosomal protein HMG-17 OS=Homo sapiens GN=HMGN2 PE=1 SV=3	HUMAN	2					
34	2.58	2.58	37.3699992895126	22.2200006246567	13.1300002336502	cont|000078	gi|28373262|pdb|1CO7|I Chain I, R117h Mutant Rat Anionic Trypsin Complexed With Bovine Pancreatic Trypsin Inhibitor (Bpti) [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	63.7899994850159	37.9299998283386	22.409999370575	cont|000063	gi|13399516|pdb|1EJM|B Chain B, Crystal Structure Of The Bpti Ala16leu Mutant In Complex With Bovine Trypsin [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	56.9199979305267	33.8499993085861	20.0000002980232	cont|000044	gi|4139559|pdb|3TGI|I Chain I, Wild-Type Rat Anionic Trypsin Complexed With Bovine Pancreatic Trypsin Inhibitor (Bpti) [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	40.2200013399124	23.9099994301796	14.1299992799759	cont|000024	gi|664893|emb|CAA28886.1| trypsin ihibitor precursor [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	63.7899994850159	37.9299998283386	22.409999370575	cont|000020	gi|443137|pdb|1NAG|  Bovine Pancreatic Trypsin Inhibitor (Bpti) Mutant With Asn 43 Replaced By Gly (N43g) [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	63.7899994850159	37.9299998283386	22.409999370575	cont|000019	gi|442882|pdb|1FAN|  Bovine Pancreatic Trypsin Inhibitor (Bpti) Mutant With Phe 45 Replaced By Ala (F45a) [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	63.7899994850159	37.9299998283386	22.409999370575	cont|000011	gi|230373|pdb|1TPA|I Chain I, Anhydro-Trypsin (E.C.3.4.21.4) Complex With Pancreatic Trypsin Inhibitor [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.0000004768372	21.9999998807907	12.9999995231628	cont|000004	gi|115114|sp|P00974|BPT1_BOVIN Pancreatic trypsin inhibitor precursor (Basic protease inhibitor) (BPI) (BPTI) (Aprotinin) [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.9299998283386	37.9299998283386	22.409999370575	cont|000118	gi|7546597|pdb|3BTQ|I Chain I, The Crystal Structures Of The Complexes Between Bovine Beta- Trypsin And Ten P1 Variants Of Bpti [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.9299998283386	37.9299998283386	22.409999370575	cont|000117	gi|7546591|pdb|3BTH|I Chain I, The Crystal Structures Of The Complexes Between Bovine Beta- Trypsin And Ten P1 Variants Of Bpti [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.9299998283386	37.9299998283386	22.409999370575	cont|000116	gi|7546589|pdb|3BTG|I Chain I, The Crystal Structures Of The Complexes Between Bovine Beta- Trypsin And Ten P1 Variants Of Bpti [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.9299998283386	37.9299998283386	22.409999370575	cont|000115	gi|7546587|pdb|3BTF|I Chain I, The Crystal Structures Of The Complexes Between Bovine Beta- Trypsin And Ten P1 Variants Of Bpti. [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.9299998283386	37.9299998283386	22.409999370575	cont|000114	gi|7546585|pdb|3BTD|I Chain I, The Crystal Structures Of The Complexes Between The Bovine Beta-Trypsin And Ten P1 Variants Of Bpti. [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.9299998283386	37.9299998283386	22.409999370575	cont|000056	gi|7546601|pdb|3BTW|I Chain I, The Crystal Structures Of The Complexes Between Bovine Beta- Trypsin And Ten P1 Variants Of Bpti [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.9299998283386	37.9299998283386	22.409999370575	cont|000055	gi|7546599|pdb|3BTT|I Chain I, The Crystal Structures Of The Complexes Between Bovine Beta- Trypsin And Ten P1 Variants Of Bpti [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.9299998283386	37.9299998283386	22.409999370575	cont|000054	gi|7546595|pdb|3BTM|I Chain I, The Crystal Structures Of The Complexes Between Bovine Beta- Trypsin And Ten P1 Variants Of Bpti [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.9299998283386	37.9299998283386	22.409999370575	cont|000053	gi|7546571|pdb|3BTE|I Chain I, The Crystal Structures Of The Complexes Between Bovine Beta- Trypsin And Ten P1 Variants Of Bpti. [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2.58	37.9299998283386	37.9299998283386	22.409999370575	cont|000047	gi|6435821|pdb|1QLQ|A Chain A, Bovine Pancreatic Trypsin Inhibitor (Bpti) Mutant With Altered Binding Loop Sequence [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2	63.7899994850159	22.409999370575	22.409999370575	cont|000085	gi|229725|pdb|1BPT|  Bovine Pancreatic Trypsin Inhibitor (BPTI) Mutant (Tyr 23 Replaced By Ala) (Y23A) [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
34	0	2	48.2800006866455	22.409999370575	22.409999370575	cont|000018	gi|442692|pdb|1BTI|  Bovine Pancreatic Trypsin Inhibitor (Bpti) Mutant With Phe 22 Replaced By Ala (F22a) [Bos taurus (contaminant)]	Bos taurus (contaminant)	2					
35	2.43	2.43	15.0800004601479	3.57500016689301	1.67599990963936	sp|Q13435|SF3B2_HUMAN	Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=1 SV=2	HUMAN	1					
36	2.39	2.39	15.1800006628036	6.45700022578239	2.09400001913309	sp|P10809|CH60_HUMAN	60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2	HUMAN	1					
37	2.38	2.38	9.01999995112419	2.61899996548891	1.45500004291534	sp|Q7L014|DDX46_HUMAN	Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens GN=DDX46 PE=1 SV=2	HUMAN	1					
38	2.3	2.3	6.97600021958351	1.2640000320971	1.2640000320971	sp|O75643|U520_HUMAN	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2	HUMAN	2					
39	2.26	2.26	21.2300002574921	7.53400027751923	0	sp|P52272|HNRPM_HUMAN	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3	HUMAN	0					
40	2.21	2.21	9.28800031542778	5.10799996554852	2.63199992477894	sp|P11142|HSP7C_HUMAN	Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	HUMAN	1					
40	0	2	9.70299988985062	2.65999995172024	2.65999995172024	sp|P54652|HSP72_HUMAN	Heat shock-related 70 kDa protein 2 OS=Homo sapiens GN=HSPA2 PE=1 SV=1	HUMAN	1					
41	2.11	2.11	18.9899995923042	4.11899983882904	2.28799991309643	sp|P08621|RU17_HUMAN	U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens GN=SNRNP70 PE=1 SV=2	HUMAN	1					
42	2.03	2.03	15.7700002193451	4.22499999403954	2.81700007617474	sp|P19338|NUCL_HUMAN	Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	HUMAN	1					
43	2.02	2.02	23.3199998736382	12.559999525547	8.96899998188019	cont|000143	pdb|1FNI_A| A Chain A, Crystal Structure Of Porcine Beta Trypsin With 0.01% Polydocanol [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	1					
43	0	2.02	22.5099995732307	12.1200002729893	8.65800008177757	cont|000141	spt|P00761| Trypsin precursor (EC 3.4.21.4) [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	1					
43	0	2.02	23.3199998736382	12.559999525547	8.96899998188019	cont|000040	gi|2914482|pdb|1TFX|A Chain A, Complex Of The Second Kunitz Domain Of Tissue Factor Pathway Inhibitor With Porcine Trypsin [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	1					
43	0	2.02	23.3199998736382	12.559999525547	8.96899998188019	cont|000023	gi|494360|pdb|1MCT|A Chain A, Trypsin (E.C.3.4.21.4) Complexed With Inhibitor From Bitter Gourd [Sus scrofa (Contaminant)]	Sus scrofa (Contaminant)	1					
43	0	2.02	46.340000629425	34.1500014066696	24.3900001049042	cont|000142	pdb|1EPT_B| B Chain B, Porcine E-Trypsin (E.C.3.4.21.4) [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	1					
43	0	2.02	30.3999990224838	22.4000006914139	15.9999996423721	cont|000032	gi|1942351|pdb|1AKS|A Chain A, Crystal Structure Of The First Active Autolysate Form Of The Porcine Alpha Trypsin [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	1					
43	0	2	18.8299998641014	12.559999525547	8.96899998188019	cont|000144	pdb|1AN1_E| E Chain E, Leech-Derived Tryptase InhibitorTRYPSIN COMPLEX [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	1					
44	2.01	2.01	13.4100005030632	1.42599996179342	1.42599996179342	sp|Q09666|AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	HUMAN	1					
45	2.01	2.01	22.7500006556511	5.82000017166138	5.82000017166138	sp|P51991|ROA3_HUMAN	Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2	HUMAN	1					
46	2	2	9.87100005149841	2.71799992769957	2.71799992769957	sp|Q14978|NOLC1_HUMAN	Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1 PE=1 SV=2	HUMAN	1					
47	2	2	12.0999999344349	4.03200015425682	4.03200015425682	sp|Q07955|SRSF1_HUMAN	Serine/arginine-rich splicing factor 1 OS=Homo sapiens GN=SRSF1 PE=1 SV=2	HUMAN	1					
48	2	2	7.53400027751923	3.25299985706806	3.25299985706806	sp|P13645|K1C10_HUMAN	Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6	HUMAN	1					
48	0	2	7.05099999904633	3.04499994963408	3.04499994963408	cont|000136	cra|hCP1812051| keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	1					
48	0	2	7.41999968886375	3.2039999961853	3.2039999961853	cont|000133	pir|KRHU0| keratin 10, type I, cytoskeletal - human [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	1					
48	0	2	7.53400027751923	3.25299985706806	3.25299985706806	cont|000129	trm|Q8N175| Keratin 10 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	1					
48	0	2	7.41999968886375	3.2039999961853	3.2039999961853	cont|000122	spt|P13645| Keratin, type I cytoskeletal 10 (Cytokeratin 10) (K10) (CK 10) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	1					
49	2	2	8.33299979567528	2.77800001204014	2.77800001204014	sp|Q15007|FL2D_HUMAN	Pre-mRNA-splicing regulator WTAP OS=Homo sapiens GN=WTAP PE=1 SV=2	HUMAN	1					
50	2	2	31.360000371933	22.0300003886223	13.5600000619888	sp|P62316|SMD2_HUMAN	Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1	HUMAN	1					
51	2	2	7.34999999403954	3.34100015461445	3.34100015461445	sp|Q9BQE3|TBA1C_HUMAN	Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1	HUMAN	1					
51	0	2	7.31699988245964	3.32599990069866	3.32599990069866	sp|Q71U36|TBA1A_HUMAN	Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=1 SV=1	HUMAN	1					
51	0	2	7.31699988245964	3.32599990069866	3.32599990069866	sp|P68363|TBA1B_HUMAN	Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1	HUMAN	1					
52	2	2	6.44299983978271	3.3610001206398	3.3610001206398	sp|Q96DI7|SNR40_HUMAN	U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens GN=SNRNP40 PE=1 SV=1	HUMAN	1					
53	2	2	3.94899994134903	1.55100002884865	1.55100002884865	sp|Q14444|CAPR1_HUMAN	Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2	HUMAN	1					
54	2	2	7.55800008773804	2.61599998921156	2.61599998921156	sp|Q13247|SRSF6_HUMAN	Serine/arginine-rich splicing factor 6 OS=Homo sapiens GN=SRSF6 PE=1 SV=2	HUMAN	1					
55	2	2	8.22999998927116	4.8140000551939	4.8140000551939	sp|P04264|K2C1_HUMAN	Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6	HUMAN	1					
55	0	2	8.22999998927116	4.8140000551939	4.8140000551939	cont|000135	cra|hCP1609934.2| keratin 1 (epidermolytic hyperkeratosis) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	1					
55	0	2	8.22999998927116	4.8140000551939	4.8140000551939	cont|000134	rf|NP_006112.2| keratin 1 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	1					
55	0	2	8.22999998927116	4.8140000551939	4.8140000551939	cont|000132	sp|P04264| K2C1_HUMAN Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	1					
56	2	2	15.1199996471405	15.1199996471405	15.1199996471405	sp|P62306|RUXF_HUMAN	Small nuclear ribonucleoprotein F OS=Homo sapiens GN=SNRPF PE=1 SV=1	HUMAN	1					
57	2	2	17.3899993300438	17.3899993300438	17.3899993300438	sp|P62304|RUXE_HUMAN	Small nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1	HUMAN	1					
58	1.85	1.85	19.0699994564056	7.00400024652481	7.00400024652481	sp|P62917|RL8_HUMAN	60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2	HUMAN	1					
59	1.8	1.8	14.2399996519089	6.94399997591972	6.94399997591972	sp|Q02878|RL6_HUMAN	60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3	HUMAN	1					
60	1.52	1.52	48.6400008201599	26.0699987411499	4.28000018000603	sp|Q86V81|THOC4_HUMAN	THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3	HUMAN	1					
61	1.49	1.49	4.93299998342991	1.49499997496605	1.49499997496605	sp|Q96PK6|RBM14_HUMAN	RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2	HUMAN	1					
62	1.45	1.45	6.29800036549568	1.64700001478195	0	sp|P78527|PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3	HUMAN	0					
63	1.4	1.4	9.4810001552105	3.39899994432926	3.2200001180172	sp|Q9UHX1|PUF60_HUMAN	Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens GN=PUF60 PE=1 SV=1	HUMAN	1					
64	1.36	1.36	4.35900017619133	4.35900017619133	4.35900017619133	sp|Q12905|ILF2_HUMAN	Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2	HUMAN	1					
65	1.34	1.34	12.9999995231628	5.82999996840954	5.82999996840954	sp|Q96CT7|CC124_HUMAN	Coiled-coil domain-containing protein 124 OS=Homo sapiens GN=CCDC124 PE=1 SV=1	HUMAN	1					
66	1.31	1.31	20.160000026226	6.97700008749962	6.97700008749962	sp|Q9BTM1|H2AJ_HUMAN	Histone H2A.J OS=Homo sapiens GN=H2AFJ PE=1 SV=1	HUMAN	1					
66	0	1.31	8.59400033950806	7.03099966049194	7.03099966049194	sp|Q99878|H2A1J_HUMAN	Histone H2A type 1-J OS=Homo sapiens GN=HIST1H2AJ PE=1 SV=3	HUMAN	1					
66	0	1.31	8.59400033950806	7.03099966049194	7.03099966049194	sp|Q96KK5|H2A1H_HUMAN	Histone H2A type 1-H OS=Homo sapiens GN=HIST1H2AH PE=1 SV=3	HUMAN	1					
66	0	1.31	8.46199989318848	6.92299976944923	6.92299976944923	sp|Q93077|H2A1C_HUMAN	Histone H2A type 1-C OS=Homo sapiens GN=HIST1H2AC PE=1 SV=3	HUMAN	1					
66	0	1.31	8.46199989318848	6.92299976944923	6.92299976944923	sp|Q8IUE6|H2A2B_HUMAN	Histone H2A type 2-B OS=Homo sapiens GN=HIST2H2AB PE=1 SV=3	HUMAN	1					
66	0	1.31	8.46199989318848	6.92299976944923	6.92299976944923	sp|Q7L7L0|H2A3_HUMAN	Histone H2A type 3 OS=Homo sapiens GN=HIST3H2A PE=1 SV=3	HUMAN	1					
66	0	1.31	8.46199989318848	6.92299976944923	6.92299976944923	sp|Q6FI13|H2A2A_HUMAN	Histone H2A type 2-A OS=Homo sapiens GN=HIST2H2AA3 PE=1 SV=3	HUMAN	1					
66	0	1.31	8.52700024843216	6.97700008749962	6.97700008749962	sp|Q16777|H2A2C_HUMAN	Histone H2A type 2-C OS=Homo sapiens GN=HIST2H2AC PE=1 SV=4	HUMAN	1					
66	0	1.31	8.46199989318848	6.92299976944923	6.92299976944923	sp|P20671|H2A1D_HUMAN	Histone H2A type 1-D OS=Homo sapiens GN=HIST1H2AD PE=1 SV=2	HUMAN	1					
66	0	1.31	7.69200026988983	6.29400014877319	6.29400014877319	sp|P16104|H2AX_HUMAN	Histone H2AX OS=Homo sapiens GN=H2AFX PE=1 SV=2	HUMAN	1					
