"t","Date","Day Code","Day of Week","Bread Sand Sold","Bread Sand Waste","Bread Sand Share","Wraps Sold","Wraps Waste","Wraps Share","Muffins Sold","Muffins Waste","Muffins Share","Cookies Sold","Cookies Waste","Cookies Share","Fruit Cup Sold","Fruit Cup Waste","Fruit Cup Share","Chips","Juices","Sodas","Coffees","Total Soda and Coffee","Sales ","Max Daily Temp F","Total Items Wasted"
31,3/2/2010,2,"Tue",8,0,1,21,1,"0,9545454545",10,0,1,9,1,"0,9",2,0,1,12,7,54,20,74,217.29,39,2
32,3/3/2010,3,"Wed",4,0,1,13,0,1,8,2,"0,8",8,2,"0,8",3,0,1,9,4,34,11,45,"148,24",39,4
33,3/4/2010,4,"Thu",4,0,1,14,0,1,6,0,1,8,0,1,2,0,1,8,5,43,21,64,168.08,45,0
34,3/5/2010,5,"Fri",,,,,,,,,,,,,,,,,,,,,,47,
35,3/15/2010,1,"Mon",6,0,1,17,0,1,3,0,1,4,0,1,2,0,1,9,3,24,8,32,130.77,48,0
36,3/16/2010,2,"Tue",7,1,"0,875",19,0,1,5,2,"0,7142857143",13,0,1,1,0,1,11,4,48,8,56,164.54,61,3
37,3/17/2010,3,"Wed",3,3,"0,5",13,0,1,3,4,"0,4285714286",6,0,1,0,0,,7,4,35,4,39,121.41,64,7
38,3/18/2010,4,"Thu",5,3,"0,625",15,3,"0,8333333333",1,2,"0,3333333333",5,2,"0,7142857143",4,0,1,8,5,33,4,37,127.93,64,10
39,3/19/2010,5,"Fri",2,0,1,4,7,"0,3636363636",5,2,"0,7142857143",3,3,"0,5",1,0,1,1,3,24,3,27,"61,94",65,12
40,3/22/2010,1,"Mon",4,2,"0,6666666667",13,4,"0,7647058824",3,0,1,2,4,"0,3333333333",2,0,1,8,7,30,5,35,128.59,47,10
41,3/23/2010,2,"Tue",8,0,1,14,4,"0,7777777778",7,0,1,4,3,"0,5714285714",2,2,"0,5",7,6,50,6,56,"159,23",62,9
42,3/24/2010,3,"Wed",4,0,1,9,0,1,8,0,1,5,4,"0,5555555556",2,0,1,7,5,45,4,49,148.08,66,4
43,3/25/2010,4,"Thu",6,0,1,18,1,"0,9473684211",3,0,1,3,1,"0,75",2,0,1,9,4,50,13,63,164.86,56,2
44,3/26/2010,5,"Fri",1,1,"0,5",4,1,"0,8",3,1,"0,75",5,1,"0,8333333333",1,1,"0,5",3,2,26,4,30,74.13,49,5
45,3/29/2010,1,"Mon",2,4,"0,3333333333",9,2,"0,8181818182",3,0,1,1,0,1,0,1,0,4,0,26,16,42,82.96,56,7
46,3/30/2010,2,"Tue",6,0,1,25,0,1,11,1,"0,9166666667",9,0,1,4,0,1,9,10,55,14,69,240.87,62,1
47,3/31/2010,3,"Wed",4,0,1,15,0,1,1,0,1,9,4,"0,6923076923",3,0,1,6,4,42,10,52,151.52,76,4
48,4/1/2010,4,"Thu",4,0,1,16,0,1,6,0,1,6,0,1,1,0,1,11,3,45,11,56,150.99,80,0
