"Total_score"	"Unused_score"	"% Cov"	"% Cov (95)"	"Accession"	"Peptides(95%)"	"Proteome_type"	"Cell_line"	"Treatment"	"Compartment"
14,64	14,64	32	10,3	"sp|Q8N163|CCAR2_HUMAN"	7	"PSMA3"	"Im9"	"CmB"	"C"
14,39	14,39	53,3	23,5	"sp|P63261|ACTG_HUMAN"	9	"PSMA3"	"Im9"	"CmB"	"C"
13,81	13,81	43,2	20	"sp|P68363|TBA1B_HUMAN"	8	"PSMA3"	"Im9"	"CmB"	"C"
12,82	12,82	29,7	13,4	"sp|P11940|PABP1_HUMAN"	8	"PSMA3"	"Im9"	"CmB"	"C"
10,41	10,41	36,4	14,9	"sp|P26641|EF1G_HUMAN"	6	"PSMA3"	"Im9"	"CmB"	"C"
10,02	10,02	46,7	12,5	"sp|P61978|HNRPK_HUMAN"	4	"PSMA3"	"Im9"	"CmB"	"C"
8,73	8,73	39,8	12,8	"sp|P68104|EF1A1_HUMAN"	5	"PSMA3"	"Im9"	"CmB"	"C"
5,9	5,9	26,7	15,9	"sp|P16152|CBR1_HUMAN"	3	"PSMA3"	"Im9"	"CmB"	"C"
5,44	5,44	31,1	2,6	"sp|P11142|HSP7C_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"C"
5,3	5,3	24	6,1	"sp|Q00839|HNRPU_HUMAN"	3	"PSMA3"	"Im9"	"CmB"	"C"
5,07	5,07	36,1	8,7	"sp|P31943|HNRH1_HUMAN"	3	"PSMA3"	"Im9"	"CmB"	"C"
4,43	4,43	17,7	4,3	"sp|P08238|HS90B_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"C"
3,42	3,42	23,7	7,6	"sp|P60842|IF4A1_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"C"
3,01	3,01	26,9	1,8	"sp|Q9BUJ2|HNRL1_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
2,82	2,82	35,7	4,2	"sp|P62701|RS4X_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
2,76	2,76	15,3	3,2	"sp|Q9H0D6|XRN2_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"C"
2,6	2,6	10,1	3,2	"sp|P55884|EIF3B_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"C"
2,33	2,33	8,6	1,2	"sp|Q15393|SF3B3_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
2,17	2,17	16,7	2	"sp|Q15637|SF01_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
2,15	2,15	19,7	1,2	"sp|Q14152|EIF3A_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
2	2	6,6	1,7	"sp|Q5T6F2|UBAP2_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
1,86	1,86	6,2	2,3	"sp|Q9Y262|EIF3L_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
1,77	1,77	20,7	4,2	"sp|P22626|ROA2_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
1,61	1,61	24,1	2,8	"sp|O43813|LANC1_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
1,55	1,55	24,6	7,9	"sp|P62318|SMD3_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
13,46	1,5	51,7	16,6	"sp|P68371|TBB4B_HUMAN"	7	"PSMA3"	"Im9"	"CmB"	"C"
1,36	1,36	19	5,8	"sp|P08865|RSSA_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
1,24	1,24	7,3	3,2	"sp|Q96HR8|NAF1_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"C"
2,77	1,21	16,7	7,6	"sp|Q14240|IF4A2_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"C"
73,44	73,44	92,2	91	"sp|P25788|PSA3_HUMAN"	110	"PSMA3"	"Im9"	"RB"	"N"
22,8	22,8	55,3	26,1	"sp|P61978|HNRPK_HUMAN"	13	"PSMA3"	"Im9"	"RB"	"N"
18,02	18,02	59,5	38,2	"sp|P22626|ROA2_HUMAN"	11	"PSMA3"	"Im9"	"RB"	"N"
16,61	16,61	42,5	12,3	"sp|Q9BXP5|SRRT_HUMAN"	8	"PSMA3"	"Im9"	"RB"	"N"
14,34	14,34	37,3	13,3	"sp|Q00839|HNRPU_HUMAN"	7	"PSMA3"	"Im9"	"RB"	"N"
14,32	14,32	43,7	23,8	"sp|P31943|HNRH1_HUMAN"	8	"PSMA3"	"Im9"	"RB"	"N"
15,15	13,04	39,5	21,8	"sp|P09651|ROA1_HUMAN"	7	"PSMA3"	"Im9"	"RB"	"N"
8,63	8,63	25,2	7,6	"sp|Q9BUJ2|HNRL1_HUMAN"	6	"PSMA3"	"Im9"	"RB"	"N"
8,17	8,17	22,2	8	"sp|Q15637|SF01_HUMAN"	4	"PSMA3"	"Im9"	"RB"	"N"
7,86	7,86	76,7	30,1	"sp|P62805|H4_HUMAN"	4	"PSMA3"	"Im9"	"RB"	"N"
6,26	6,26	31	8,2	"sp|Q5VTE0|EF1A3_HUMAN"	3	"PSMA3"	"Im9"	"RB"	"N"
6,1	6,1	45,6	11,7	"sp|P63261|ACTG_HUMAN"	3	"PSMA3"	"Im9"	"RB"	"N"
4,62	4,62	25,5	5	"sp|P11940|PABP1_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
4,41	4,41	31,1	4,6	"sp|P11142|HSP7C_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
4,33	4,33	20,8	2,9	"sp|Q9H0D6|XRN2_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
4,21	4,21	28,9	7,8	"sp|P31942|HNRH3_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
4,12	4,12	49,2	9	"sp|P51991|ROA3_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
4,11	4,11	45	21,4	"sp|Q96QV6|H2A1A_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
4,1	4,1	58,7	24,6	"sp|P62318|SMD3_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
4,02	4,02	12,7	4,1	"sp|P23246|SFPQ_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
4	4	12	4,5	"sp|Q86YZ3|HORN_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
4	4	26	13,2	"sp|O43809|CPSF5_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
2,35	2,35	37,5	2,3	"sp|P08621|RU17_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2,18	2,18	50,7	8,1	"sp|P84243|H33_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2,14	2,14	27,8	3,6	"sp|P07910|HNRPC_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2,13	2,13	19,9	1,9	"sp|O43390|HNRPR_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2,07	2,07	24,8	2,3	"sp|Q14103|HNRPD_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2,04	2,04	36,6	3,6	"sp|P38159|RBMX_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	69,8	8,7	"sp|Q99880|H2B1L_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
2	2	28,4	4,3	"sp|Q86V81|THOC4_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	22,8	2,9	"sp|Q92804|RBP56_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	15,5	1,8	"sp|P02545|LMNA_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	12,8	2,3	"sp|Q01844|EWS_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	14,2	2,3	"sp|Q8N684|CPSF7_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	9,5	1,4	"sp|Q8N163|CCAR2_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	47	5,5	"sp|P84103|SRSF3_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	9,5	1,3	"sp|O60506|HNRPQ_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	17,5	3,9	"sp|Q99729|ROAA_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	11,9	7,1	"sp|P06748|NPM_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	3,4	3,4	"sp|Q15717|ELAV1_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"N"
2	2	12	12	"sp|P62304|RUXE_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"N"
29,77	29,77	79,2	56,5	"sp|P25788|PSA3_HUMAN"	34	"PSMA3"	"Im9"	"RB"	"C"
28,78	28,78	78,7	66,1	"sp|P63261|ACTG_HUMAN"	45	"PSMA3"	"Im9"	"RB"	"C"
18,47	18,47	64	30,2	"sp|P07437|TBB5_HUMAN"	12	"PSMA3"	"Im9"	"RB"	"C"
17,27	17,27	59,4	27,9	"sp|P68363|TBA1B_HUMAN"	11	"PSMA3"	"Im9"	"RB"	"C"
13,66	13,66	33,6	6	"sp|P35579|MYH9_HUMAN"	8	"PSMA3"	"Im9"	"RB"	"C"
11,26	11,26	53,1	15	"sp|Q16658|FSCN1_HUMAN"	6	"PSMA3"	"Im9"	"RB"	"C"
7,81	7,81	36,2	10,6	"sp|Q5VTE0|EF1A3_HUMAN"	4	"PSMA3"	"Im9"	"RB"	"C"
6,9	6,9	29	5,4	"sp|P78344|IF4G2_HUMAN"	4	"PSMA3"	"Im9"	"RB"	"C"
5,69	5,69	40,6	10,1	"sp|P60842|IF4A1_HUMAN"	3	"PSMA3"	"Im9"	"RB"	"C"
5,33	5,33	29,6	7,4	"sp|P11142|HSP7C_HUMAN"	3	"PSMA3"	"Im9"	"RB"	"C"
5,22	5,22	39,9	5,8	"sp|P08238|HS90B_HUMAN"	3	"PSMA3"	"Im9"	"RB"	"C"
5,11	5,11	28,6	7,2	"sp|P11940|PABP1_HUMAN"	3	"PSMA3"	"Im9"	"RB"	"C"
4,63	4,63	27,7	8,9	"sp|P61978|HNRPK_HUMAN"	3	"PSMA3"	"Im9"	"RB"	"C"
3,83	3,83	27,8	5,4	"sp|P43358|MAGA4_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"C"
3,38	3,38	28	3,3	"sp|Q8N163|CCAR2_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"C"
3,33	3,33	10,9	3,2	"sp|P55884|EIF3B_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"C"
10,24	2,98	55,6	21,3	"sp|Q13748|TBA3C_HUMAN"	8	"PSMA3"	"Im9"	"RB"	"C"
2,73	2,73	25,5	1,1	"sp|Q14152|EIF3A_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"C"
2,4	2,4	16,9	6	"sp|P31943|HNRH1_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"C"
2,4	2,4	24,2	10,5	"sp|P16152|CBR1_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"C"
4,15	1,87	37,4	2,9	"sp|P07900|HS90A_HUMAN"	2	"PSMA3"	"Im9"	"RB"	"C"
1,74	1,74	13,8	1,6	"sp|Q00839|HNRPU_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"C"
1,72	1,72	13	2,7	"sp|Q9BXP5|SRRT_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"C"
15,24	1,66	57,8	26,3	"sp|P68371|TBB4B_HUMAN"	11	"PSMA3"	"Im9"	"RB"	"C"
1,61	1,61	21,8	4,1	"sp|P15880|RS2_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"C"
1,44	1,44	13,4	1,8	"sp|Q99613|EIF3C_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"C"
1,39	1,39	16,3	7,4	"sp|P08708|RS17_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"C"
1,37	1,37	21,1	4,1	"sp|P62081|RS7_HUMAN"	1	"PSMA3"	"Im9"	"RB"	"C"
27,68	27,68	69,9	43,7	"sp|P60709|ACTB_HUMAN"	22	"PSMA3"	"Im9"	"FC"	"N"
26,25	26,25	52,2	45,1	"sp|P25788|PSA3_HUMAN"	26	"PSMA3"	"Im9"	"FC"	"N"
18,42	18,42	27,7	5,1	"sp|P35579|MYH9_HUMAN"	8	"PSMA3"	"Im9"	"FC"	"N"
18,42	18,4	18,7	4,5	"sp|Q13813|SPTN1_HUMAN"	7	"PSMA3"	"Im9"	"FC"	"N"
16,86	16,86	41,4	27,2	"sp|P10809|CH60_HUMAN"	11	"PSMA3"	"Im9"	"FC"	"N"
16,32	16,32	48,8	19,9	"sp|P25705|ATPA_HUMAN"	8	"PSMA3"	"Im9"	"FC"	"N"
16,16	16,16	38,7	19,7	"sp|P26641|EF1G_HUMAN"	7	"PSMA3"	"Im9"	"FC"	"N"
16,06	16,06	33,3	17,2	"sp|P11142|HSP7C_HUMAN"	8	"PSMA3"	"Im9"	"FC"	"N"
15,82	15,82	32,6	16,6	"sp|P08238|HS90B_HUMAN"	8	"PSMA3"	"Im9"	"FC"	"N"
15,12	15,12	49	32,3	"sp|P10316|1A69_HUMAN"	8	"PSMA3"	"Im9"	"FC"	"N"
14,98	14,98	73,1	33,9	"sp|P21796|VDAC1_HUMAN"	8	"PSMA3"	"Im9"	"FC"	"N"
14,14	14,14	22,3	11	"sp|Q7KZF4|SND1_HUMAN"	7	"PSMA3"	"Im9"	"FC"	"N"
14,11	14,11	42,9	27,4	"sp|P06576|ATPB_HUMAN"	9	"PSMA3"	"Im9"	"FC"	"N"
13,91	13,91	13,9	1,9	"sp|P78527|PRKDC_HUMAN"	7	"PSMA3"	"Im9"	"FC"	"N"
13,82	13,82	33,2	21,1	"sp|P05141|ADT2_HUMAN"	6	"PSMA3"	"Im9"	"FC"	"N"
12,49	12,49	46,5	17,7	"sp|Q99623|PHB2_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"N"
12,09	12,09	27,8	14,7	"sp|P04843|RPN1_HUMAN"	7	"PSMA3"	"Im9"	"FC"	"N"
11,96	11,96	42,5	11,6	"sp|P09651|ROA1_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"N"
11,57	11,57	16,8	4,8	"sp|Q08211|DHX9_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"N"
11,36	11,36	44,1	18,8	"sp|P61978|HNRPK_HUMAN"	6	"PSMA3"	"Im9"	"FC"	"N"
10,94	10,94	25,2	8,8	"sp|Q9NR30|DDX21_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"N"
10,88	10,88	71,8	45,6	"sp|P62805|H4_HUMAN"	6	"PSMA3"	"Im9"	"FC"	"N"
10,72	10,72	69,1	35,7	"sp|P62807|H2B1C_HUMAN"	8	"PSMA3"	"Im9"	"FC"	"N"
10,35	10,35	36	28,3	"sp|P35232|PHB_HUMAN"	6	"PSMA3"	"Im9"	"FC"	"N"
10,21	10,21	16,8	13,1	"sp|Q13838|DX39B_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"N"
10,05	10,05	25	22,7	"sp|Q15084|PDIA6_HUMAN"	6	"PSMA3"	"Im9"	"FC"	"N"
9,78	9,78	37,2	22,5	"sp|Q9BQE3|TBA1C_HUMAN"	7	"PSMA3"	"Im9"	"FC"	"N"
9,45	9,45	51,5	35,4	"sp|Q93077|H2A1C_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"N"
9,35	9,35	20,9	10,4	"sp|P11940|PABP1_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"N"
9,19	9,19	60,5	21	"sp|Q07955|SRSF1_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"N"
8,38	8,38	45,7	15,4	"sp|P68104|EF1A1_HUMAN"	6	"PSMA3"	"Im9"	"FC"	"N"
8,29	8,29	15,1	1,7	"sp|Q01082|SPTB2_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
7,94	7,94	32,4	8,5	"sp|P38646|GRP75_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"N"
7,43	7,43	22,4	6,5	"sp|Q00839|HNRPU_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"N"
7,42	7,42	41	8,1	"sp|P07437|TBB5_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
7,34	7,34	19,1	9,4	"sp|P12956|XRCC6_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"N"
7,32	7,32	21,6	5,2	"sp|P23246|SFPQ_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
7,15	7,15	44,1	9,1	"sp|O75367|H2AY_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"N"
9,52	7,1	50,7	20,7	"sp|P22626|ROA2_HUMAN"	7	"PSMA3"	"Im9"	"FC"	"N"
7,1	7,08	41,4	8,2	"sp|P08670|VIME_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
7,04	7,04	14	7,5	"sp|P39656|OST48_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
7,01	7,01	34	11,2	"sp|P22087|FBRL_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
6,99	6,99	35,8	5,4	"sp|P17844|DDX5_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
6,75	6,75	22,9	10,2	"sp|P38919|IF4A3_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"N"
8,1	6,5	26,8	7	"sp|P14625|ENPL_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"N"
6,23	6,23	18,3	4,8	"sp|P19338|NUCL_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
6,17	6,17	17,7	5,9	"sp|P27824|CALX_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
6,1	6,1	29,2	5	"sp|P11387|TOP1_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
5,92	5,92	27,4	9,9	"sp|P52272|HNRPM_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"N"
5,85	5,85	34,1	19,2	"sp|P62241|RS8_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"N"
5,84	5,84	10,9	1,6	"sp|P42704|LPPRC_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
5,8	5,8	23,7	11,3	"sp|P31942|HNRH3_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
5,75	5,75	51,9	13,2	"sp|P13760|2B14_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
5,37	5,37	24,8	10,4	"sp|P52597|HNRPF_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
5,35	5,35	48,5	14,7	"sp|Q71DI3|H32_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
5,31	5,31	19,3	3,9	"sp|O43390|HNRPR_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
5,27	5,27	22,8	8,5	"sp|O43813|LANC1_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
5,21	5,21	23,9	10,8	"sp|P49411|EFTU_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
5,17	5,17	28,3	2,1	"sp|P02545|LMNA_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
5,17	5,17	22	9,6	"sp|Q02978|M2OM_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
5,09	5,09	10,6	1,9	"sp|B0I1T2|MYO1G_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
5	5	24,9	15,9	"sp|P16152|CBR1_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
4,77	4,77	51,2	14,6	"sp|P16403|H12_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
4,73	4,73	36,3	10,5	"sp|P07910|HNRPC_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
6,82	4,67	24,2	6,7	"sp|Q12931|TRAP1_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
4,47	4,47	35	3,6	"sp|P38159|RBMX_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
13,3	4,44	36,6	12,2	"sp|P07900|HS90A_HUMAN"	6	"PSMA3"	"Im9"	"FC"	"N"
4,41	4,41	24,8	9,2	"sp|P06748|NPM_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
4,28	4,28	14,1	3,1	"sp|Q08945|SSRP1_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
4,24	4,24	35,8	8,7	"sp|Q13247|SRSF6_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
5,76	4,18	30	6,9	"sp|P11021|GRP78_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
4,13	4,13	23,7	5,4	"sp|P43358|MAGA4_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
4,09	4,09	27,8	8	"sp|P62701|RS4X_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
4,05	4,05	20,2	7,3	"sp|Q8NHW5|RLA0L_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
4	4	8,6	4	"sp|Q16891|MIC60_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,88	3,88	12,1	2	"sp|P05023|AT1A1_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,85	3,85	18,6	1,6	"sp|P42166|LAP2A_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
3,85	3,85	18,6	10,2	"sp|P08865|RSSA_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,78	3,78	31,4	6,8	"sp|P36578|RL4_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,77	3,77	32	5,4	"sp|P45880|VDAC2_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
3,6	3,6	21,8	2,2	"sp|P39023|RL3_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
3,6	3,6	24,1	6,5	"sp|Q99714|HCD2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
3,53	3,53	20,8	3	"sp|P46087|NOP2_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,4	3,4	7,6	0,8	"sp|Q6P2Q9|PRP8_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,39	3,39	15,2	2,7	"sp|Q9BXP5|SRRT_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
3,38	3,38	33,9	9,5	"sp|Q13242|SRSF9_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,37	3,37	28	7,5	"sp|Q96L21|RL10L_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,32	3,32	30,8	10	"sp|P26373|RL13_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,29	3,29	35,5	8,1	"sp|Q96AG4|LRC59_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,24	3,24	28,4	11,3	"sp|Q86V81|THOC4_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
3,22	3,22	17,5	3,8	"sp|O00571|DDX3X_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
